CIABJ	309	2238	9.5	170	16	1
ESALG	136	773	13.5	229	11	2
NGAPP	0	34988	11.0	196	11	2
GWOXB	162	2351	8.0	403	9	1
CDBOA	163	33794	9.5	364	59	2
GNCKY	226	24804	8.0	117	44	1
BJCOO	87	3913	9.5	175	2	1
SNDKR	574	1670	9.5	208	11	1
CMDLA	17	24272	8.0	114	9	1
SLFNA	161	34052	8.0	265	41	1
GALBV	461	32981	8.0	382	55	1
AOLOB	89	25906	9.5	107	59	2
TGLFW	213	6812	9.5	289	2	1
CDMAT	235	23533	9.5	361	55	1
LRMLW	97	32401	8.0	184	59	1
CGPNR	126	916	9.5	112	27	2
GAPOG	221	24613	8.0	255	59	1
GHTKD	115	1400	8.0	266	5	2
