AOLAD	221	23272	8	209	61	2
AOLOB	89	25906	9.5	107	59	2
BJCOO	87	3913	9.5	175	2	2
CDBOA	163	33794	9.5	364	59	2
CDMAT	235	23533	9.5	361	55	2
CGPNR	126	916	9.5	112	27	2
CIABJ	309	2238	9.5	170	16	2
CMDLA	17	24272	8	114	9	2
DJJIB	233	6179	13.5	243	3	2
ESALG	136	773	13.5	229	11	2
GALBV	461	32981	8	382	55	2
GAPOG	221	24613	8	255	59	2
GHTKD	115	1400	8	266	5	2
GNCKY	226	24804	8	117	44	2
GWOXB	162	2351	8	403	9	2
LRMLW	97	32401	8	184	59	2
NGAPP	0	34988	11	196	11	2
SLFNA	161	34052	8	265	41	2
SNDKR	574	1670	9.5	208	11	2
TGLFW	213	6812	9.5	289	2	2
